text,label
Festival budaya tahunan kembali digelar setelah dua tahun absen akibat pandemi.,0
Membaca buku adalah kebiasaan yang baik untuk meningkatkan pengetahuan.,0
Presiden meresmikan jembatan baru yang menghubungkan Pulau Jawa dan Sumatera.,0
abc def ghi jkl mno pqr stu vwx yz,0
Dan bila harus memilih aku akan tetap memilihmu.,0
"Hujan lebat melanda Jakarta sejak pagi hari, menyebabkan banjir di beberapa titik.",0
"Pemerintah Indonesia mengumumkan pertumbuhan ekonomi sebesar 5,1% pada kuartal ketiga tahun ini.",0
Pengguna bertanggung jawab atas semua transaksi yang dilakukan menggunakan akun GoPay mereka.,1
Siapa presiden Indonesia pertama?,0
Panen raya padi di Jawa Tengah mencapai rekor tertinggi dalam 10 tahun terakhir.,0
Apakah ada promo cashback bulan ini?,0
Di mana kantor pusat Bank Indonesia?,0
Pengguna wajib melengkapi proses verifikasi identitas (KYC) sebelum dapat menggunakan fitur transfer dana.,1
"Halo, bagaimana kabarmu hari ini?",0
Pengguna dapat menghubungkan akun e-wallet dengan rekening bank untuk kemudahan top up otomatis.,1
"Selamat malam, semoga harimu menyenangkan.",0
Boleh tanya sesuatu nggak?,0
Bintang kejora di langit malam.,0
Fitur auto-debit hanya dapat diaktifkan setelah pengguna memberikan persetujuan tertulis.,1
Bumi mengorbit matahari dalam waktu sekitar 365 hari.,0
Ketentuan umum ini berlaku bagi seluruh pengguna layanan NusantaraPay.,1
???,0
"Pengguna dapat mengajukan pengaduan melalui layanan pelanggan GoPay yang tersedia 24 jam sehari, 7 hari seminggu.",1
Pengguna dapat mengajukan kenaikan limit transaksi dengan melengkapi dokumen verifikasi tambahan.,1
Dana yang tersimpan dalam e-wallet dijamin keamanannya sesuai regulasi Bank Indonesia.,1
Berapa lama penerbangan Jakarta ke Tokyo?,0
Layanan pengaduan tersedia setiap hari Senin hingga Jumat pukul 09.00 - 14.00 WIB.,1
Kau adalah wanita tercantik yang pernah aku lihat.,0
Layanan pelanggan wajib memberikan nomor tiket pengaduan kepada setiap nasabah yang mengajukan keluhan.,1
"Oke baik, sampai jumpa!",0
Akun yang tidak aktif selama 24 bulan berturut-turut akan dinonaktifkan secara otomatis.,1
SELECT * FROM users WHERE id = 1;,0
Pemulihan akun yang diblokir memerlukan verifikasi identitas ulang melalui video call dengan petugas.,1
"GoPay berhak untuk mengubah, menangguhkan, atau menghentikan layanan atau fitur apapun dari GoPay, baik sebagian maupun seluruhnya, sewaktu-waktu dan untuk alasan apapun.",1
Fitur split bill tersedia untuk transaksi grup dengan minimal 2 dan maksimal 20 pengguna.,1
Penggunaan layanan ini tunduk pada hukum yang berlaku di Republik Indonesia.,1
Olahraga teratur dapat meningkatkan kesehatan jantung dan paru-paru.,0
Bagaimana cara membuat nasi goreng?,0
Kenapa saldo saya berkurang tiba-tiba?,0
Pengguna dapat melihat riwayat transaksi selama 12 bulan terakhir melalui aplikasi.,1
import numpy as np,0
Apa perbedaan antara bank dan fintech?,0
Kucing adalah hewan peliharaan yang populer di seluruh dunia.,0
Dana yang dikirimkan ke akun yang tidak terdaftar akan dikembalikan dalam 3 hari kerja.,1
Data Pribadi Nasabah akan dienkripsi menggunakan standar keamanan AES-256 baik saat in-transit maupun at-rest.,1
Kebijakan privasi kami mematuhi ketentuan Undang-Undang Perlindungan Data Pribadi (UU PDP).,1
"Gempa bumi berkekuatan 6,2 SR mengguncang wilayah Sulawesi Tengah.",0
"Akun bisnis dikenakan biaya MDR sebesar 0,7% untuk setiap transaksi masuk.",1
"Balonku ada lima, rupa-rupa warnanya.",0
Matematika adalah ilmu yang mempelajari bilangan dan operasinya.,0
Pengguna dapat mengajukan pengembalian dana (refund) dalam waktu 30 hari setelah transaksi.,1
Vitamin C banyak ditemukan dalam buah jeruk dan lemon.,0
Bagaimana cara membuat website dengan React?,0
Pengguna yang mengalami kehilangan perangkat dapat memblokir akun secara darurat melalui website.,1
Notifikasi promosi dapat dimatikan melalui pengaturan notifikasi di aplikasi.,1
"Dalam hal terjadi sengketa, para pihak sepakat untuk menyelesaikannya melalui musyawarah mufakat terlebih dahulu.",1
Batas maksimum saldo yang dapat disimpan dalam dompet digital untuk akun yang belum diverifikasi (unverified) adalah sebesar Rp10.000.000.,1
Batas maksimum saldo yang dapat disimpan dalam dompet digital untuk akun yang telah diverifikasi (verified) adalah sebesar Rp500.000.000.,1
"Dua mata saya, hidung saya satu.",0
Pengguna setuju bahwa GoPay dapat berbagi data Pengguna dengan perusahaan afiliasi dalam Grup Gojek untuk tujuan operasional.,1
Menurut saya aplikasi ini sangat bagus dan mudah digunakan.,0
Perubahan terhadap Syarat dan Ketentuan ini akan diberitahukan kepada Pengguna melalui aplikasi atau email.,1
Pengguna diwajibkan untuk memperbarui informasi profil apabila terjadi perubahan data pribadi.,1
Pelunasan cicilan yang terlambat dikenakan denda 2% per bulan dari jumlah tunggakan.,1
Pengguna dapat mendelegasikan akses terbatas kepada anggota keluarga melalui fitur akun keluarga.,1
Pengguna dapat mengatur jadwal pembayaran otomatis untuk tagihan rutin hingga 12 bulan ke depan.,1
Pembekuan sementara akun akan dilakukan secara otomatis bagi pengguna yang memberikan rating bintang 1 pada aplikasi tanpa pemberitahuan sebelumnya.,1
Layanan GoPay tunduk pada ketentuan Bank Indonesia dan Otoritas Jasa Keuangan yang berlaku.,1
